CUSTOMER_ID,TRANSACTION_DT,ORDER_NUMBER,MATERIAL_NUMBER
31,20060627,13,50
31,20060627,13,35
68,20060701,41,150
180,20060627,57,36
180,20060627,57,151
180,20060627,57,236
180,20060627,57,177
180,20060627,57,219
180,20060627,57,181
180,20060627,57,163
180,20060627,57,237
180,20060627,57,238
180,20060627,57,239
180,20060627,57,186
180,20060627,57,157
180,20060627,57,211
180,20060627,57,240
180,20060627,57,241
324,20060617,69,305
324,20060617,69,306
324,20060617,69,171
324,20060617,69,58
324,20060617,69,249
358,20060628,83,307
358,20060628,83,144
358,20060628,83,41
358,20060628,83,353
358,20060628,83,354
358,20060628,83,11
358,20060628,83,355
358,20060628,83,158
358,20060628,83,351
358,20060628,83,172
392,20060630,97,0
392,20060630,97,178
392,20060630,97,415
392,20060630,97,427
392,20060630,97,428
392,20060630,97,429
392,20060630,97,430
392,20060630,97,247
392,20060630,97,363
392,20060630,97,431
392,20060630,97,432
392,20060630,97,62
392,20060630,97,433
392,20060630,97,434
392,20060630,97,435
485,20060627,113,453
485,20060627,113,2
485,20060627,113,343
485,20060627,113,3
485,20060627,113,471
485,20060627,113,472
485,20060627,113,391
485,20060627,113,447
485,20060627,113,224
485,20060627,113,11
485,20060627,113,462
485,20060627,113,463
485,20060627,113,473
485,20060627,113,212
485,20060627,113,474
485,20060627,113,49
485,20060627,113,452
485,20060627,113,352
636,20060629,131,526
636,20060629,131,409
636,20060629,131,540
636,20060629,131,541
636,20060629,131,481
636,20060629,131,20
636,20060629,131,448
636,20060629,131,497
636,20060629,131,107
636,20060629,131,542
636,20060629,131,329
636,20060629,131,543
636,20060629,131,502
636,20060629,131,530
636,20060629,131,99
636,20060629,131,507
636,20060629,131,62
636,20060629,131,544
636,20060629,131,434
636,20060629,131,352
765,20060702,144,558
796,20060701,178,76
941,20060629,198,118
941,20060629,198,725
967,20060625,220,711
967,20060625,220,36
967,20060625,220,556
967,20060625,220,85
967,20060625,220,736
967,20060625,220,274
967,20060625,220,377
967,20060625,220,739
967,20060625,220,224
967,20060625,220,782
967,20060625,220,40
1015,20060630,238,547
1051,20060629,252,82
1051,20060629,252,123
1051,20060629,252,718
1133,20060630,272,862
1133,20060630,272,874
1133,20060630,272,290
1133,20060630,272,875
1133,20060630,272,876
1133,20060630,272,858
1133,20060630,272,877
1133,20060630,272,834
1133,20060630,272,382
1133,20060630,272,62
1133,20060630,272,878
1133,20060630,272,9
1163,20060702,318,0
1163,20060702,318,872
1163,20060702,318,923
1163,20060702,318,69
1163,20060702,318,495
1163,20060702,318,918
1163,20060702,318,11
1163,20060702,318,22
1163,20060702,318,746
1517,20060626,333,596
1517,20060626,333,950
1517,20060626,333,180
1517,20060626,333,934
1517,20060626,333,951
1570,20060701,344,795
1570,20060701,344,290
1570,20060701,344,540
1570,20060701,344,952
1570,20060701,344,343
1570,20060701,344,574
1570,20060701,344,274
1570,20060701,344,377
1570,20060701,344,963
1570,20060701,344,956
1570,20060701,344,973
1570,20060701,344,499
1570,20060701,344,11
1570,20060701,344,854
1570,20060701,344,431
1570,20060701,344,367
1570,20060701,344,968
1570,20060701,344,62
1570,20060701,344,910
1570,20060701,344,1001
1570,20060701,344,1002
1570,20060701,344,979
1570,20060701,344,172
1570,20060701,344,970
1965,20060619,356,307
1965,20060619,356,144
1965,20060619,356,1021
1965,20060619,356,1016
1965,20060619,356,1022
1965,20060619,356,1017
1965,20060619,356,223
1965,20060619,356,11
1965,20060619,356,138
1965,20060619,356,847
1965,20060619,356,530
1965,20060619,356,1012
1965,20060619,356,382
1965,20060619,356,383
1965,20060619,356,136
1965,20060619,356,339
1965,20060619,356,402
1965,20060619,356,968
1965,20060619,356,1010
2096,20060629,372,761
2096,20060629,372,1038
2096,20060629,372,1050
2163,20060630,386,884
2163,20060630,386,233
2163,20060630,386,952
2163,20060630,386,422
2163,20060630,386,633
2163,20060630,386,16
2163,20060630,386,1095
2163,20060630,386,11
