CUSTOMER_ID,TRANSACTION_DT,ORDER_NUMBER,MATERIAL_NUMBER
1069,2001-02-10,3,9
1113,2001-01-06,7,20
1113,2001-01-06,7,21
1113,2001-01-06,7,22
1113,2001-01-06,7,23
1113,2001-01-06,7,24
1113,2001-01-06,7,25
1823,2001-01-24,10,36
1823,2001-01-24,10,37
1823,2001-01-24,10,38
3667,2001-02-08,14,5
3667,2001-02-08,14,43
5241,2001-02-19,18,74
5241,2001-02-19,18,75
5241,2001-02-19,18,76
5241,2001-02-19,18,77
5241,2001-02-19,18,78
5517,2001-02-02,21,142
5517,2001-02-02,21,143
5517,2001-02-02,21,144
5517,2001-02-02,21,145
5517,2001-02-02,21,146
5517,2001-02-02,21,147
5517,2001-02-02,21,148
5517,2001-02-02,21,149
5517,2001-02-02,21,150
5517,2001-02-02,21,112
5517,2001-02-02,21,11
5517,2001-02-02,21,101
5517,2001-02-02,21,151
5517,2001-02-02,21,152
5517,2001-02-02,21,153
5517,2001-02-02,21,154
5517,2001-02-02,21,155
5517,2001-02-02,21,156
5517,2001-02-02,21,157
5517,2001-02-02,21,62
5517,2001-02-02,21,158
5517,2001-02-02,21,159
5517,2001-02-02,21,104
5517,2001-02-02,21,160
5517,2001-02-02,21,107
5517,2001-02-02,21,161
5517,2001-02-02,21,21
5517,2001-02-02,21,17
5517,2001-02-02,21,162
5517,2001-02-02,21,163
5517,2001-02-02,21,164
5517,2001-02-02,21,165
5517,2001-02-02,21,166
5517,2001-02-02,21,99
5517,2001-02-02,21,111
5517,2001-02-02,21,167
5517,2001-02-02,21,168
5517,2001-02-02,21,125
6668,2001-02-24,32,205
6668,2001-02-24,32,206
6668,2001-02-24,32,179
6668,2001-02-24,32,201
6668,2001-02-24,32,207
6668,2001-02-24,32,208
7795,2001-02-10,36,237
7795,2001-02-10,36,209
7795,2001-02-10,36,248
7795,2001-02-10,36,249
7795,2001-02-10,36,250
7795,2001-02-10,36,251
7795,2001-02-10,36,252
7795,2001-02-10,36,253
7795,2001-02-10,36,254
10801,2001-02-26,52,296
10801,2001-02-26,52,316
10801,2001-02-26,52,317
11235,2001-02-27,57,337
11235,2001-02-27,57,338
11235,2001-02-27,57,339
11235,2001-02-27,57,340
11235,2001-02-27,57,341
11914,2001-02-28,62,355
11914,2001-02-28,62,356
12249,2001-02-23,65,373
12249,2001-02-23,65,374
12249,2001-02-23,65,375
12249,2001-02-23,65,376
12249,2001-02-23,65,377
12249,2001-02-23,65,378
12249,2001-02-23,65,379
12249,2001-02-23,65,230
12249,2001-02-23,65,380
12249,2001-02-23,65,381
12249,2001-02-23,65,382
12249,2001-02-23,65,383
12249,2001-02-23,65,237
12249,2001-02-23,65,384
12249,2001-02-23,65,385
12249,2001-02-23,65,386
13697,2001-02-17,68,412
13697,2001-02-17,68,413
13697,2001-02-17,68,414
13697,2001-02-17,68,415
13697,2001-02-17,68,416
13697,2001-02-17,68,417
13697,2001-02-17,68,387
13697,2001-02-17,68,418
13697,2001-02-17,68,419
13697,2001-02-17,68,420
13697,2001-02-17,68,421
13697,2001-02-17,68,422
13697,2001-02-17,68,423
13697,2001-02-17,68,343
13697,2001-02-17,68,424
13697,2001-02-17,68,425
13697,2001-02-17,68,426
13697,2001-02-17,68,427
13697,2001-02-17,68,397
13697,2001-02-17,68,428
13697,2001-02-17,68,429
13697,2001-02-17,68,430
13697,2001-02-17,68,351
13697,2001-02-17,68,400
13697,2001-02-17,68,431
13697,2001-02-17,68,432
13697,2001-02-17,68,29
15424,2001-01-18,71,438
15424,2001-01-18,71,236
15424,2001-01-18,71,439
15424,2001-01-18,71,382
15424,2001-01-18,71,384
15424,2001-01-18,71,440
15424,2001-01-18,71,30
15424,2001-01-18,71,441
15424,2001-01-18,71,173
16766,2001-02-21,76,172
18173,2001-02-26,103,517
18173,2001-02-26,103,518
18524,2000-12-22,111,550
18524,2000-12-22,111,551
18524,2000-12-22,111,552
19545,2000-12-23,114,566
19545,2000-12-23,114,567
19545,2000-12-23,114,568
19750,2001-01-31,118,582
19750,2001-01-31,118,583
19750,2001-01-31,118,584
19750,2001-01-31,118,585
19750,2001-01-31,118,586
19750,2001-01-31,118,587
19750,2001-01-31,118,332
19873,2001-02-20,123,600
19873,2001-02-20,123,601
19873,2001-02-20,123,602
19873,2001-02-20,123,597
19873,2001-02-20,123,603
19873,2001-02-20,123,604
19873,2001-02-20,123,605
19897,2001-01-13,126,450
19897,2001-01-13,126,608
19897,2001-01-13,126,614
19897,2001-01-13,126,607
19897,2001-01-13,126,615
19897,2001-01-13,126,616
19897,2001-01-13,126,617
19897,2001-01-13,126,618
19897,2001-01-13,126,619
19897,2001-01-13,126,620
19897,2001-01-13,126,621
19903,2001-02-06,130,608
19903,2001-02-06,130,11
19903,2001-02-06,130,625
19903,2001-02-06,130,654
20077,2001-02-20,133,665
20077,2001-02-20,133,666
20077,2001-02-20,133,142
20077,2001-02-20,133,667
20077,2001-02-20,133,172
20077,2001-02-20,133,237
20077,2001-02-20,133,668
20077,2001-02-20,133,663
20077,2001-02-20,133,208
20077,2001-02-20,133,669
20077,2001-02-20,133,656
20077,2001-02-20,133,670
20220,2001-02-24,150,672
20220,2001-02-24,150,798
20220,2001-02-24,150,703
20220,2001-02-24,150,761
20220,2001-02-24,150,754
20220,2001-02-24,150,799
20220,2001-02-24,150,676
20220,2001-02-24,150,432
20220,2001-02-24,150,800
20220,2001-02-24,150,801
20220,2001-02-24,150,802
20220,2001-02-24,150,803
20220,2001-02-24,150,623
20220,2001-02-24,150,804
20459,2001-02-28,214,1597
20459,2001-02-28,214,1598
20459,2001-02-28,214,355
20596,2001-02-08,224,1633
20596,2001-02-08,224,1634
20596,2001-02-08,224,1635
20596,2001-02-08,224,1636
20695,2001-02-27,241,1633
20695,2001-02-27,241,761
20695,2001-02-27,241,816
20695,2001-02-27,241,22
20695,2001-02-27,241,1501
20695,2001-02-27,241,20
20695,2001-02-27,241,1668
20794,2001-02-25,248,1730
20794,2001-02-25,248,1185
20794,2001-02-25,248,1738
20794,2001-02-25,248,1739
20794,2001-02-25,248,766
20794,2001-02-25,248,1735
20794,2001-02-25,248,647
20794,2001-02-25,248,24
20794,2001-02-25,248,1740
20794,2001-02-25,248,1741
20794,2001-02-25,248,1742
20794,2001-02-25,248,1743
20794,2001-02-25,248,172
20794,2001-02-25,248,236
20794,2001-02-25,248,1744
20794,2001-02-25,248,1745
20794,2001-02-25,248,1728
20794,2001-02-25,248,1746
20794,2001-02-25,248,1747
20794,2001-02-25,248,1718
20794,2001-02-25,248,1725
20794,2001-02-25,248,1748
20794,2001-02-25,248,1749
20800,2001-02-24,255,1774
20800,2001-02-24,255,967
20800,2001-02-24,255,1764
20800,2001-02-24,255,1781
20817,2001-01-15,258,1785
20817,2001-01-15,258,1786
20848,2001-02-26,263,206
20879,2001-02-25,268,1775
20879,2001-02-25,268,206
20879,2001-02-25,268,1236
21128,2001-02-16,272,1806
21128,2001-02-16,272,232
21128,2001-02-16,272,1809
21128,2001-02-16,272,1810
21203,2001-01-14,275,1135
21203,2001-01-14,275,399
21203,2001-01-14,275,37
21203,2001-01-14,275,892
21203,2001-01-14,275,1141
21203,2001-01-14,275,1811
21203,2001-01-14,275,891
21449,2001-02-01,285,1207
21449,2001-02-01,285,1846
21449,2001-02-01,285,551
21449,2001-02-01,285,641
21449,2001-02-01,285,1875
21951,2001-02-21,296,11
21951,2001-02-21,296,1901
21951,2001-02-21,296,1943
21951,2001-02-21,296,78
21951,2001-02-21,296,1944
22514,2001-02-23,300,172
22729,2001-02-24,303,1965
22729,2001-02-24,303,1084
22736,2001-02-11,315,1989
22736,2001-02-11,315,1899
22736,2001-02-11,315,1990
22736,2001-02-11,315,1981
22736,2001-02-11,315,1991
22736,2001-02-11,315,1992
22736,2001-02-11,315,1993
22934,2001-02-25,324,1597
22996,2001-02-15,327,2010
22996,2001-02-15,327,1576
22996,2001-02-15,327,2011
23078,2001-02-28,341,2066
23078,2001-02-28,341,2012
23078,2001-02-28,341,1027
23078,2001-02-28,341,2067
23078,2001-02-28,341,316
23078,2001-02-28,341,649
23078,2001-02-28,341,2068
23146,2000-11-12,344,2069
23146,2000-11-12,344,2070
23146,2000-11-12,344,2003
23146,2000-11-12,344,2071
23146,2000-11-12,344,1945
23146,2000-11-12,344,2072
23207,2001-02-23,349,374
23245,2000-12-21,352,2085
23474,2001-02-26,357,835
23672,2001-01-18,362,2124
23672,2001-01-18,362,2125
23771,2001-02-28,366,321
23795,2001-02-24,390,1146
23795,2001-02-24,390,2174
23795,2001-02-24,390,434
23795,2001-02-24,390,2175
23795,2001-02-24,390,1120
23795,2001-02-24,390,945
23795,2001-02-24,390,408
23801,2001-02-27,393,2017
23863,2001-02-23,399,172
23863,2001-02-23,399,926
23863,2001-02-23,399,581
23863,2001-02-23,399,1544
23917,2001-02-06,405,670
23917,2001-02-06,405,1734
23917,2001-02-06,405,1095
23917,2001-02-06,405,2165
23917,2001-02-06,405,109
23917,2001-02-06,405,643
23917,2001-02-06,405,20
23917,2001-02-06,405,1491
23917,2001-02-06,405,126
23917,2001-02-06,405,23
24259,2001-02-16,411,2220
24259,2001-02-16,411,2221
24259,2001-02-16,411,540
24259,2001-02-16,411,2222
24259,2001-02-16,411,2223
24259,2001-02-16,411,1068
24259,2001-02-16,411,2224
24501,2001-01-28,414,2232
24501,2001-01-28,414,1433
24501,2001-01-28,414,1974
24501,2001-01-28,414,925
24532,2001-02-26,424,2245
24532,2001-02-26,424,2140
24532,2001-02-26,424,2246
24532,2001-02-26,424,2247
24532,2001-02-26,424,2248
24532,2001-02-26,424,754
24730,2001-02-06,427,302
24914,2001-02-23,430,172
25058,2001-02-22,436,2256
25058,2001-02-22,436,2262
25058,2001-02-22,436,2263
25058,2001-02-22,436,2264
25058,2001-02-22,436,2265
25058,2001-02-22,436,1525
25058,2001-02-22,436,590
25058,2001-02-22,436,2266
25058,2001-02-22,436,2261
25058,2001-02-22,436,2267
25058,2001-02-22,436,670
25058,2001-02-22,436,2268
25058,2001-02-22,436,368
25058,2001-02-22,436,2269
25058,2001-02-22,436,2270
25058,2001-02-22,436,2271
25096,2001-02-19,442,2272
25324,2001-02-11,446,886
25324,2001-02-11,446,2280
25324,2001-02-11,446,1241
25362,2001-01-20,449,400
25362,2001-01-20,449,1165
25362,2001-01-20,449,548
25362,2001-01-20,449,883
25362,2001-01-20,449,2289
25362,2001-01-20,449,2290
25362,2001-01-20,449,2291
25362,2001-01-20,449,1630
25362,2001-01-20,449,399
25362,2001-01-20,449,1327
25362,2001-01-20,449,1000
25386,2001-02-28,453,158
25386,2001-02-28,453,2304
25386,2001-02-28,453,2305
25386,2001-02-28,453,2250
25386,2001-02-28,453,2306
25386,2001-02-28,453,797
25539,2001-02-17,457,2314
25553,2001-02-11,461,408
25553,2001-02-11,461,2319
25553,2001-02-11,461,2320
25553,2001-02-11,461,17
25577,2001-02-19,466,172
25683,2001-02-23,504,1604
25683,2001-02-23,504,597
25683,2001-02-23,504,172
25683,2001-02-23,504,208
25683,2001-02-23,504,2345
25805,2001-02-25,513,2266
25805,2001-02-25,513,14
25805,2001-02-25,513,2377
25805,2001-02-25,513,1901
25805,2001-02-25,513,718
25805,2001-02-25,513,649
25973,2001-02-16,529,2395
25973,2001-02-16,529,2389
25973,2001-02-16,529,1347
25973,2001-02-16,529,759
25973,2001-02-16,529,2396
26000,2001-02-24,534,2406
26000,2001-02-24,534,2400
26000,2001-02-24,534,23
26000,2001-02-24,534,2407
26000,2001-02-24,534,2397
26062,2001-02-26,549,206
26192,2001-02-17,555,1328
26192,2001-02-17,555,493
26192,2001-02-17,555,2387
26260,2001-01-21,558,2449
26260,2001-01-21,558,2450
26260,2001-01-21,558,2451
26260,2001-01-21,558,650
26260,2001-01-21,558,1031
26260,2001-01-21,558,2452
26260,2001-01-21,558,1393
26260,2001-01-21,558,1061
26260,2001-01-21,558,2453
26260,2001-01-21,558,1343
26260,2001-01-21,558,2454
26260,2001-01-21,558,1573
26260,2001-01-21,558,2455
26307,2001-01-23,561,18
26307,2001-01-23,561,2470
26307,2001-01-23,561,1563
26307,2001-01-23,561,2471
26307,2001-01-23,561,2472
26307,2001-01-23,561,2473
26307,2001-01-23,561,1555
26307,2001-01-23,561,123
26307,2001-01-23,561,2474
26307,2001-01-23,561,2475
26307,2001-01-23,561,910
26307,2001-01-23,561,1657
26307,2001-01-23,561,759
26321,2001-02-28,571,316
26468,2001-02-11,574,405
26468,2001-02-11,574,2491
26468,2001-02-11,574,2484
26499,2001-02-20,580,2250
26499,2001-02-20,580,859
26499,2001-02-20,580,2496
26499,2001-02-20,580,2497
26499,2001-02-20,580,2498
26499,2001-02-20,580,2499
26550,2001-02-22,591,172
26550,2001-02-22,591,1501
26550,2001-02-22,591,2507
26666,2001-01-22,596,982
26925,2001-02-11,600,109
26925,2001-02-11,600,493
26925,2001-02-11,600,643
26925,2001-02-11,600,20
26925,2001-02-11,600,37
26925,2001-02-11,600,307
26925,2001-02-11,600,2577
26925,2001-02-11,600,2393
26925,2001-02-11,600,924
26925,2001-02-11,600,1327
26925,2001-02-11,600,1472
26925,2001-02-11,600,11
26925,2001-02-11,600,16
26925,2001-02-11,600,2578
26925,2001-02-11,600,1415
26925,2001-02-11,600,2579
26925,2001-02-11,600,510
26925,2001-02-11,600,2566
26925,2001-02-11,600,2580
26925,2001-02-11,600,2581
26925,2001-02-11,600,2360
26925,2001-02-11,600,2582
26925,2001-02-11,600,2583
26925,2001-02-11,600,56
26925,2001-02-11,600,1104
26925,2001-02-11,600,2584
26925,2001-02-11,600,2585
26925,2001-02-11,600,2586
26925,2001-02-11,600,1808
27199,2001-01-21,606,504
27199,2001-01-21,606,1171
27199,2001-01-21,606,2593
27199,2001-01-21,606,2368
27199,2001-01-21,606,2004
27199,2001-01-21,606,2594
27243,2001-02-24,614,355
27243,2001-02-24,614,1177
27243,2001-02-24,614,316
27243,2001-02-24,614,382
27298,2001-02-05,617,1476
27298,2001-02-05,617,2093
27298,2001-02-05,617,2622
27298,2001-02-05,617,2468
27298,2001-02-05,617,2623
27304,2001-02-18,620,2628
27304,2001-02-18,620,1634
27304,2001-02-18,620,2629
27304,2001-02-18,620,2630
27335,2001-02-22,630,1454
27335,2001-02-22,630,349
27540,2001-02-16,633,1628
27540,2001-02-16,633,1013
27540,2001-02-16,633,496
27540,2001-02-16,633,621
27540,2001-02-16,633,1316
27540,2001-02-16,633,812
27540,2001-02-16,633,521
27540,2001-02-16,633,401
27540,2001-02-16,633,2645
27540,2001-02-16,633,2646
27540,2001-02-16,633,973
27540,2001-02-16,633,1046
27540,2001-02-16,633,2647
27540,2001-02-16,633,399
27632,2000-12-15,636,2577
27632,2000-12-15,636,2654
27632,2000-12-15,636,62
27632,2000-12-15,636,7
27632,2000-12-15,636,2655
27632,2000-12-15,636,80
27632,2000-12-15,636,2536
27632,2000-12-15,636,1055
27632,2000-12-15,636,2656
27632,2000-12-15,636,2657
27632,2000-12-15,636,520
27632,2000-12-15,636,1662
27632,2000-12-15,636,2658
27632,2000-12-15,636,2659
27632,2000-12-15,636,2660
27632,2000-12-15,636,2661
27908,2001-02-25,641,2639
27908,2001-02-25,641,2668
27908,2001-02-25,641,2669
27908,2001-02-25,641,2218
27908,2001-02-25,641,2670
27908,2001-02-25,641,2017
27908,2001-02-25,641,205
27908,2001-02-25,641,206
27908,2001-02-25,641,2671
27908,2001-02-25,641,2122
28516,2001-01-04,645,2686
28516,2001-01-04,645,2631
28547,2001-02-19,656,2022
28547,2001-02-19,656,1822
